,0,1
11,约,"['HSK 4급 단어', '#/entry/zhko/5de8619822f7488cb378d668af9c73d3', '#/entry/zhko/b711522c09e4415e9f3f1ac4ef64550f', '#/entry/zhko/08ad65ad70cd49d8b4b5f5a5fffad35d', 'HSK 6급 단어', '#/entry/zhko/04c179253fe84d5b85fdf08ff7391c20', '#/entry/zhko/a411472ec854468c94781eff5eb93fd6', '#/entry/zhko/e7e37d40310f4c5992a6d85502874bff', '#/entry/zhko/7080e75587ba438b8f3d8db4785c1c49']"
12,字,"['HSK 1급 단어', '#/entry/zhko/60cb9650e9e44b26a0fd559efeb85f14', 'HSK 4급 단어', '#/entry/zhko/b3054e5bdf454dffad614bf17bba5d4c', 'HSK 5급 단어', '#/entry/zhko/f83d0a38e6b34b7cbcb0d2e55efb508f', '#/entry/zhko/80b7fcf5e3564468b251ee1c798c9e57', 'HSK 6급 단어', '#/entry/zhko/bccfdaca1dd649dfa4df55a5c8463c6f', '#/entry/zhko/ff71a76aa79345de98fe33a850132a8f', '#/entry/zhko/981b327614de44859637283eb3447ada']"
13,肯,"['HSK 4급 단어', '#/entry/zhko/d880c1bb60c643fcb72deb1a2248893d', 'HSK 6급 단어', '#/entry/zhko/9b09b9898cec478e98009cf1aaa8e9ab']"
14,目,"['HSK 3급 단어', '#/entry/zhko/7d8f6987359a419d903acec3d0835e08', 'HSK 4급 단어', '#/entry/zhko/06b82236e3714ba2bbfd4ecce67225ed', 'HSK 5급 단어', '#/entry/zhko/2085720c320541c38ee3d33a608fe915', '#/entry/zhko/9a1ec2eb56264738bb04451cd3fde79c', '#/entry/zhko/6855a02344434fd4889ba896add85a19', '#/entry/zhko/4fbafbfe41b045dd8c9356fd9a8980cb', 'HSK 6급 단어', '#/entry/zhko/56309044e4c74d7fa95dcb68da8031ba', '#/entry/zhko/872a132da6154d8ab7b724e0c73addfc', '#/entry/zhko/cab30420b31a4b9ead9aaed0b6881797', '#/entry/zhko/e69c300ccc494538af9485c1d273071d', '#/entry/zhko/39dabf76985341ac88c6e8c3f1b18c6f', '#/entry/zhko/af98446f08704a07a53abf8b7d330869', '#/entry/zhko/8f3a04cf1431427e8069393f26fc05fc']"
15,笑,"['HSK 4급 단어', '#/entry/zhko/19843584d27443c1a38562063155c502', '#/entry/zhko/8094c09600d74c2185bc6e0f878b3f9f', 'HSK 5급 단어', '#/entry/zhko/79c02de336224cb1b320a06a030b9900', 'HSK 6급 단어', '#/entry/zhko/5cd66ac6318241aabc6daddb83e20ec8', '#/entry/zhko/dd14d05fba134017be8fabf0e4d5ab37']"
16,伤,"['HSK 4급 단어', '#/entry/zhko/b83d86c5c17d4bd0a7dc731dfe3a926e', 'HSK 5급 단어', '#/entry/zhko/8f205a3b3d474dc38c80bf4c46f3034e', '#/entry/zhko/994d1c4dcbe04f7091f42bf3490e9354', 'HSK 6급 단어', '#/entry/zhko/4243d66559e04325a409a24f27f02368']"
17,神,"['HSK 5급 단어', '#/entry/zhko/55dd415be8d24e958c6cec665fdbdb98', '#/entry/zhko/b54ec2733c2a4161a8101381b4e1d726', '#/entry/zhko/25b860f46f6e4982a9062e628a54375c', 'HSK 6급 단어', '#/entry/zhko/a044fca83bce4eed8ea08a372e107b41', '#/entry/zhko/d438dd551b274fb8ae8326ca2be78a2d', '#/entry/zhko/3a411fa0aca6420fa8e74905411cb057', '#/entry/zhko/42dca3d364de4edbbc84529567353ff6', '#/entry/zhko/f64e9599babe4cd58c87cf0b6ea726e7', '#/entry/zhko/120eeb11f09c454abc8b9e7dc8ca454b', '#/entry/zhko/720913bb3e9b4e86a8a965414f0fc262', '#/entry/zhko/4a9d3ab2078d4e688bf8956aa7f1ba50', '#/entry/zhko/cacb0ea092d4469cbd75662517cbc0c1', '#/entry/zhko/ee26fcac33934213a1bd9d626247fe12']"
18,父,"['HSK 4급 단어', '#/entry/zhko/772e2978ebb34d97a914a4f69b91052c', 'HSK 6급 단어', '#/entry/zhko/79fc83d350a549fba08d23324f26bfab']"
19,指,"['HSK 5급 단어', '#/entry/zhko/7fb13dfd6a6f482e8935c2ab246f92f4', '#/entry/zhko/c79e8bad4ad447db911a786a8e829b8d', '#/entry/zhko/d4067a9253034906a9dfaad9f92b57ef', 'HSK 6급 단어', '#/entry/zhko/9c8c8865cbe9468580b78bbb0820852b', '#/entry/zhko/ea97a42ffbc74b20ab84c36457670589', '#/entry/zhko/deb7250c7cfc4c5ba7edf2bd1cbcd0eb', '#/entry/zhko/f2b8aaf0b6b24d3090766d9608b4f412', '#/entry/zhko/3416b899a839420694d7b7feae33be10', '#/entry/zhko/9228a017b0ba46e38eaefc5555a339ea', '#/entry/zhko/8744ebc821054e2982f7b292dda3cc20']"
20,报,"['HSK 2급 단어', '#/entry/zhko/160237cf754042628b8e97d2fbdf57a9', 'HSK 4급 단어', '#/entry/zhko/54304434c9bd4a64bf59b933c364c8ef', 'HSK 5급 단어', '#/entry/zhko/2fcad871287e4719b7bcb0cd74a38d93', '#/entry/zhko/6a8e9e46e9c144bda0baf10ee9eb8d1d', '#/entry/zhko/44d86935de894a95a490ce8b4fac130a', '#/entry/zhko/afeb16c049a44031bdd25a2134f52180', '#/entry/zhko/cbe95d6d70514366833d96a9bac26b74', 'HSK 6급 단어', '#/entry/zhko/07f3db3e77064472aff966097b663f9a', '#/entry/zhko/73f8c96b1680431d9ebf90d364f33f9a', '#/entry/zhko/8dbc570607034abd8c3e91b8bfb3a4bc', '#/entry/zhko/bd550c79fb8744a1a3a6ce9486a585ad', '#/entry/zhko/d869f270f6554690a6cc283a112f5d79', '#/entry/zhko/007951745d774d52bbdf566409030c49', '#/entry/zhko/38436f30b18d4be78c49c5df839de148', '#/entry/zhko/f0a1bfa5bcfa440d97467f51fccf6541', '#/entry/zhko/01c18b561a8e460097d21ef589ad3672', '#/entry/zhko/de5a1420889b41b5837e2cb253182354']"
