,0,1
11,来,"['HSK 3급 단어', '#/entry/zhko/927ca7627e6b489abdd798614d8276b0', 'HSK 4급 단어', '#/entry/zhko/45b83b8d427e4389bb7dfb1ca75357ac', '#/entry/zhko/7c627c47c9de4f1984692bd98b7d72ac', '#/entry/zhko/bd2fff7bc7f540df8e4d1190f7fecac4', '#/entry/zhko/a70667d37abc4428a64ad253e598a8aa', '#/entry/zhko/d83171d61fa341029a41837d98b7afc1', '#/entry/zhko/4f010a0b382e48d68eb27dd5936baf61', '#/entry/zhko/bf9e11e1e7d34bf2befa10016e14a9ae', 'HSK 5급 단어', '#/entry/zhko/4476ed32deb749089c385475df70f353', '#/entry/zhko/c9d6a19f21df4351aaca1a1bae0fd649', 'HSK 6급 단어', '#/entry/zhko/ae0901c2f1484ecbb4402b9f38f79403', '#/entry/zhko/d9980eedd2aa4b7797774197d18a737c', '#/entry/zhko/924a607ada5b4647946f2e9f7fbd85cc', '#/entry/zhko/704a558b50e447e19c11093401f630ff', '#/entry/zhko/814ddea34af4449283f8481ed8a9a0a3', '#/entry/zhko/c73c741831f64a3caa2a110a6eeb9f80', '#/entry/zhko/974cd8dbdf074de486f2d1f62dc31c24']"
12,人,"['HSK 3급 단어', '#/entry/zhko/1836984fffa549bdbd54b67afc43cea0', '#/entry/zhko/eaf217edd2c944e08d4aebf38b9899ac', 'HSK 5급 단어', '#/entry/zhko/292faf9f3d914502bbc84d06d074b75e', '#/entry/zhko/67352fd0f2c04630868e03de1e263c24', '#/entry/zhko/8ccd70d0d2ff47249996e48d292157df', '#/entry/zhko/c842505088ef473da17371f20878fbb4', '#/entry/zhko/1eaac659e6194717a8d4ec440f267de3', '#/entry/zhko/8844cb99ee4f47e0a4f04658e6e87f55', '#/entry/zhko/1abb5c5148d1473694803e9ec0c3c830', '#/entry/zhko/f19534c7a50b492a87f5b74def6a78a6', '#/entry/zhko/4d609b47ba574e0684195130d7ea73a3', '#/entry/zhko/7e84c7ff7ee844ec900c4d1f6e362b91', '#/entry/zhko/804a66ad28a34830b7d6102a5a07b7a8', '#/entry/zhko/fd4e81566300439ea8a0acfef0a0907d', '#/entry/zhko/1834118410274d6ea66ae8ba7e968dec', 'HSK 6급 단어', '#/entry/zhko/64e180aeafad41059c541d169275109e', '#/entry/zhko/cff42481faaf4e3298b702734a22939e', '#/entry/zhko/e6cc680ed7284a349ec51850a78ac9ba', '#/entry/zhko/f7acd1deeb7c483dbc8a37856a659e78', '#/entry/zhko/6c0eece0e50142b29c87a3c7ac494e28', '#/entry/zhko/cf953fa1200841c6b48e1be8b70cdc11', '#/entry/zhko/006b9e14617a4675928578a5099c2a8b', '#/entry/zhko/c183b5fc34414ece8c0d1982c217a874', '#/entry/zhko/1de87b054ca54264a3524a324bb0ecdb', '#/entry/zhko/348532b1cfa946db886885e29d33f316', '#/entry/zhko/61cd90c0547d4400877033b20ce46e5f', '#/entry/zhko/72157a3c6e974d3d8319e4122438c57b', '#/entry/zhko/c89f60e574a84c35b71544d75c5932cd', '#/entry/zhko/ec119ef42bc448f5b1ba1c6063e7f9c1']"
13,那,"['HSK 6급 단어', '#/entry/zhko/98268472c0cf4ab3b2aaf8ec54e78054']"
14,要,"['HSK 3급 단어', '#/entry/zhko/35cffe220ebf4a3086b89d256f9cf0f9', '#/entry/zhko/be0b98d582a44311a84ca81671a04e76', '#/entry/zhko/e72a051f8fce47d1958dd5ad3cf465e2', 'HSK 4급 단어', '#/entry/zhko/4bbf73bbb2da49e1b1679bad299185ab', '#/entry/zhko/92d9ddc1c3df4c6caa900b35c223e967', 'HSK 5급 단어', '#/entry/zhko/11a9e284c947478ead66772e5d3eba11', '#/entry/zhko/03c48ba926b04d8bb8632377a7ee6674', '#/entry/zhko/567cf008337f436dbfa6dda4d2d7e2e0', '#/entry/zhko/e98439dbde344fa9a58a332e6e319537', 'HSK 6급 단어', '#/entry/zhko/0bc59b6d4bee40d7b28046e6950023fc', '#/entry/zhko/d03de25f3c0547d0886d859db46aae4c', '#/entry/zhko/edd012b03cc243c79b137183c5721d19', '#/entry/zhko/b4e528184a5e474290a4acc2da061e12']"
15,会,"['HSK 3급 단어', '#/entry/zhko/1669890e18374018917f90fd57796e83', '#/entry/zhko/29ecfdd6a6de4aa695b113841c162daf', '#/entry/zhko/97bc4171b3c8490abff01159397b221f', 'HSK 4급 단어', '#/entry/zhko/08ad65ad70cd49d8b4b5f5a5fffad35d', '#/entry/zhko/3cba4f33060f499184f00d46d3c98ad9', '#/entry/zhko/6d8af32de87141c1aa52f100aba2fc1d', '#/entry/zhko/a26c5432305c43288edcb982b1b044f2', 'HSK 5급 단어', '#/entry/zhko/637bc9cbf0b84771b38d8810b229dd53', '#/entry/zhko/c02263df72d943d9b8d2b241c7ee8c82', 'HSK 6급 단어', '#/entry/zhko/5207c17bc61c4d98a9f9009ec68b28c1', '#/entry/zhko/a044fca83bce4eed8ea08a372e107b41', '#/entry/zhko/fcb1cf62a2514d839bd8e52d97a0e455', '#/entry/zhko/3a1130f1e8844e269ebd1fb18bf2f6de', '#/entry/zhko/ca094267ce5f4942899e63e569519f73']"
16,就,"['HSK 5급 단어', '#/entry/zhko/78dbf4d6316741439ac905af8a1ee35f', 'HSK 6급 단어', '#/entry/zhko/753305a174394d7cbbbee058f7726f8c', '#/entry/zhko/097379be541a4c18a6a52cef87d09806', '#/entry/zhko/2d7603f9898243809727bb04627737a9', '#/entry/zhko/5c718f44cc274d9bb0d14498021b35b5']"
17,没,"['HSK 6급 단어', '#/entry/zhko/f92edcd284ee4feeaded4b3ee1ec71bb', '#/entry/zhko/e8d174594ddd420eb7033f56eed7f31e']"
18,到,"['HSK 3급 단어', '#/entry/zhko/dda8447574764e51bdc3d57189b99f35', '#/entry/zhko/61f854c36ae34510ba9566ad5845cc0a', 'HSK 4급 단어', '#/entry/zhko/ae6213ce90144576b00e2e3d82c20b44', '#/entry/zhko/f8fbfbed41f04317b9bc24f87944d6d3', 'HSK 5급 단어', '#/entry/zhko/ac2226bc8f2d4a3b856053aa589bd1d5', '#/entry/zhko/7aab6b7be44e4691a076135452158d39', '#/entry/zhko/afeb16c049a44031bdd25a2134f52180', 'HSK 6급 단어', '#/entry/zhko/967c391d44c74fb090ca78803bffdf37', '#/entry/zhko/cb424a6c17b34b11a381ca2275af1ade']"
19,说,"['HSK 2급 단어', '#/entry/zhko/a8eca1416276401cb2c7badcc9ac72f1', 'HSK 4급 단어', '#/entry/zhko/b7c50a5ace5c4cf3b29a28d76c2b2388', 'HSK 5급 단어', '#/entry/zhko/93f12db74f784e43966dd80c0b6d6fbd', '#/entry/zhko/bccf2eb412e6467ca8d766777625d1b6', '#/entry/zhko/2165ced112a64db3b37bc503d09fe927', '#/entry/zhko/6a4f0bba662746aaa8c96fd3d5825d24', '#/entry/zhko/ed51eb5ab659429aaf457ff3812a8550', 'HSK 6급 단어', '#/entry/zhko/c08c0971e55f445ba3beacc6cbafacbe']"
20,为,"['HSK 2급 단어', '#/entry/zhko/7be10f3682124dcfa9fb967326b28c96', '#/entry/zhko/899b9749f7a746f7a8642d5e36527966', 'HSK 3급 단어', '#/entry/zhko/507c698794ae462299a3b4c5f84803dd']"
